151876 , 230000 , 3 , 2 , 1247 , 184.442657
154401 , 229000 , 3 , 2 , 1080 , 212.037033
149839 , 210000 , 3 , 2 , 1320 , 159.090912
154145 , 217000 , 3 , 2 , 1241 , 174.858978
152393 , 220000 , 3 , 2 , 1390 , 158.273376
153370 , 218900 , 3 , 2 , 1171 , 186.93425
147611 , 225000 , 3 , 2 , 1240 , 181.451614
154223 , 227000 , 3 , 2 , 1288 , 176.242233
154060 , 208900 , 3 , 2 , 1171 , 178.394531
152854 , 229900 , 3 , 2 , 1263 , 182.026917
149616 , 225000 , 3 , 2 , 1284 , 175.233643
153876 , 222000 , 3 , 2 , 1145 , 193.886459
153850 , 221000 , 3 , 2 , 1180 , 187.288132
