154386 , 2 , 2 , 4.92999983 , 102216
154200 , 2 , 2 , 4.92999983 , 102216
153207 , 2 , 2 , 4.92999983 , 102216
142216 , 2 , 2 , 4.92999983 , 102216
147167 , 2 , 2 , 4.92999983 , 102216
149615 , 2 , 2 , 4.92999983 , 102216
149791 , 2 , 2 , 4.92999983 , 102216
152037 , 2 , 2 , 4.92999983 , 102216
154478 , 2 , 2 , 4.92999983 , 102216
153327 , 2 , 2 , 4.92999983 , 102216
154508 , 2 , 2 , 4.92999983 , 102216
154462 , 2 , 2 , 4.92999983 , 102216
151395 , 2 , 2 , 4.92999983 , 102216
154360 , 2 , 2 , 4.92999983 , 102216
