@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE size NUMERIC 
@ATTRIBUTE pricesqrf NUMERIC 
@ATTRIBUTE prc_college NUMERIC 


@DATA 
200000 , 3 , 2 , 1236 , 161.812302 , 20.0499992
394900 , 3 , 3 , 2006 , 196.859421 , 6.17000008
749500 , 4 , 4 , 3040 , 246.546051 , 6.17000008
249000 , 3 , 2 , 982 , 253.564148 , 6.17000008
799000 , 3 , 3 , 2194 , 364.175018 , 6.17000008
349000 , 2 , 2 , 963 , 362.409149 , 23.3999996
400000 , 3 , 3 , 1440 , 277.777771 , 23.3999996
525000 , 3 , 2 , 1682 , 312.128418 , 23.3999996
725000 , 3 , 2 , 1310 , 553.43512 , 23.3999996
434000 , 3 , 3 , 1300 , 333.846161 , 23.3999996
995000 , 4 , 4 , 3120 , 318.910248 , 23.3999996
450000 , 4 , 3 , 1650 , 272.727264 , 23.3999996
409000 , 4 , 2 , 1780 , 229.775284 , 23.3999996
501000 , 4 , 3 , 2000 , 250.5 , 23.3999996
429000 , 1 , 1 , 592 , 724.66217 , 46.2000008
535000 , 2 , 2 , 1262 , 423.930267 , 46.2000008
475000 , 2 , 2 , 1241 , 382.755829 , 46.2000008
517000 , 2 , 2 , 1122 , 460.784302 , 46.2000008
787500 , 2 , 2 , 1173 , 671.355469 , 46.2000008
399500 , 2 , 2 , 1500 , 266.333344 , 46.2000008
895000 , 2 , 3 , 1580 , 566.455688 , 46.2000008
806000 , 2 , 3 , 2255 , 357.427948 , 46.2000008
569000 , 3 , 2 , 1401 , 406.138458 , 46.2000008
675000 , 3 , 2 , 1614 , 418.215607 , 46.2000008
659000 , 3 , 2 , 1600 , 411.875 , 46.2000008
879000 , 3 , 3 , 1833 , 479.541748 , 46.2000008
699000 , 3 , 3 , 1900 , 367.894745 , 46.2000008
1995000 , 3 , 3 , 2140 , 932.242981 , 46.2000008
599000 , 3 , 3 , 2025 , 295.80246 , 46.2000008
799000 , 3 , 3 , 2475 , 322.828278 , 46.2000008
1300000 , 4 , 3 , 3000 , 433.333344 , 46.2000008
639500 , 4 , 3 , 1150 , 556.086975 , 46.2000008
1395000 , 4 , 4 , 3444 , 405.052277 , 46.2000008
899000 , 5 , 3 , 2003 , 448.826752 , 46.2000008
1450000 , 5 , 4 , 3500 , 414.285706 , 46.2000008
979000 , 3 , 3 , 1902 , 514.721375 , 34.9799995
750000 , 2 , 2 , 1430 , 524.475525 , 34.9799995
1995000 , 3 , 3 , 3245 , 614.791992 , 34.9799995
85000 , 2 , 1 , 888 , 95.7207184 , 34.9799995
110000 , 3 , 1 , 870 , 126.436783 , 34.9799995
210000 , 3 , 2 , 1320 , 159.090912 , 34.9799995
182000 , 3 , 2 , 1716 , 106.060608 , 34.9799995
159130 , 4 , 3 , 1878 , 84.733757 , 34.9799995
240000 , 4 , 3 , 2334 , 102.827766 , 34.9799995
185000 , 5 , 2 , 1878 , 98.5090485 , 34.9799995
310000 , 4 , 2 , 2000 , 155 , 8.80000019
300000 , 1 , 1 , 600 , 500 , 20.4099998
369900 , 2 , 1 , 825 , 448.363647 , 20.4099998
290000 , 2 , 2 , 1000 , 290 , 20.4099998
299000 , 2 , 2 , 1150 , 260 , 20.4099998
489000 , 2 , 2 , 1139 , 429.323975 , 20.4099998
449000 , 3 , 1 , 1500 , 299.333344 , 20.4099998
515000 , 3 , 2 , 1153 , 446.660889 , 20.4099998
479000 , 3 , 2 , 1253 , 382.282532 , 20.4099998
679000 , 3 , 2 , 1304 , 520.705505 , 20.4099998
489000 , 3 , 2 , 1370 , 356.934296 , 20.4099998
278500 , 3 , 2 , 1320 , 210.984848 , 20.4099998
480000 , 3 , 2 , 1440 , 333.333344 , 20.4099998
500000 , 3 , 2 , 1500 , 333.333344 , 20.4099998
445900 , 3 , 2 , 1614 , 276.270142 , 20.4099998
499000 , 3 , 2 , 1871 , 266.702301 , 20.4099998
634500 , 3 , 2 , 1926 , 329.43924 , 20.4099998
745000 , 3 , 2 , 2300 , 323.913055 , 20.4099998
