@RELATION test
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE pricesqrf NUMERIC 
@ATTRIBUTE crime NUMERIC 


@DATA 
3 , 207.110977 , 4.48000002
3 , 257.627106 , 4.48000002
3 , 127.762428 , 4.48000002
3 , 212.06897 , 4.48000002
3 , 169.279129 , 4.48000002
4 , 218.270004 , 4.48000002
4 , 233.606552 , 4.48000002
4 , 226.35408 , 4.48000002
4 , 225 , 4.48000002
4 , 213.829788 , 4.48000002
4 , 168.838867 , 4.48000002
4 , 180.317459 , 4.48000002
4 , 191.53125 , 4.48000002
1 , 181.666672 , 2.38000011
2 , 478.846161 , 2.38000011
2 , 436.25 , 2.38000011
2 , 435.924377 , 2.38000011
2 , 490.470856 , 2.38000011
2 , 450.275726 , 2.38000011
2 , 336.153839 , 2.38000011
2 , 358.130371 , 2.38000011
3 , 488.775513 , 2.38000011
3 , 366.353546 , 2.38000011
3 , 364.969788 , 2.38000011
3 , 335.389374 , 2.38000011
3 , 301.608582 , 2.38000011
3 , 299.022797 , 2.38000011
3 , 377.222229 , 2.38000011
3 , 281.105988 , 2.38000011
3 , 298.041046 , 2.38000011
3 , 341.399597 , 2.38000011
3 , 285 , 2.38000011
3 , 331.372559 , 2.38000011
3 , 342.957733 , 2.38000011
3 , 288.037933 , 2.38000011
6 , 487.514618 , 2.38000011
2 , 329.166656 , 3.05999994
3 , 466.440094 , 3.05999994
3 , 439.970184 , 3.05999994
2 , 497.159088 , 3.05999994
3 , 577.419373 , 3.05999994
2 , 502.239288 , 3.05999994
4 , 275 , 3.05999994
4 , 309.131409 , 3.05999994
3 , 364.583344 , 3.05999994
3 , 335.589935 , 3.05999994
3 , 329.815308 , 3.05999994
3 , 353.663605 , 3.05999994
4 , 418.75 , 3.05999994
4 , 455.882355 , 3.05999994
4 , 1455.02649 , 3.05999994
3 , 84.375 , 6.63000011
2 , 267.857147 , 2.63000011
3 , 159 , 2.63000011
2 , 366.326538 , 2.63000011
3 , 344.545441 , 2.63000011
3 , 316.455688 , 2.63000011
3 , 340.818176 , 2.63000011
3 , 336.879425 , 2.63000011
2 , 566.666687 , 2.63000011
4 , 330.996887 , 2.63000011
4 , 256.696442 , 2.63000011
3 , 414.156616 , 2.63000011
3 , 271.299103 , 2.63000011
4 , 296.8125 , 2.63000011
3 , 302.424255 , 2.63000011
4 , 256.349213 , 2.63000011
3 , 277.83963 , 2.63000011
4 , 271.490753 , 2.63000011
3 , 300.201813 , 2.63000011
4 , 294.361084 , 2.63000011
4 , 300.551117 , 2.63000011
2 , 386.533661 , 2.63000011
4 , 231.034485 , 2.63000011
4 , 186.100754 , 2.63000011
4 , 343.495056 , 2.63000011
3 , 452.674896 , 2.63000011
4 , 314.072327 , 2.63000011
7 , 258.888885 , 2.63000011
3 , 324.982422 , 2.63000011
5 , 301.623383 , 2.63000011
4 , 212.526611 , 2.63000011
3 , 328.943756 , 2.63000011
3 , 260.755035 , 2.63000011
4 , 298.065308 , 2.63000011
2 , 618.75 , 5
2 , 261.111115 , 5
2 , 353.892822 , 5
2 , 277.104736 , 5
3 , 126.666664 , 5
3 , 281.350494 , 5
2 , 255.418503 , 5
3 , 303.234497 , 5
3 , 286.446289 , 5
3 , 479.901947 , 5
3 , 600 , 5
1 , 372.5 , 3.44000006
2 , 283.125702 , 3.44000006
3 , 269.144135 , 3.44000006
3 , 250 , 3.44000006
2 , 262.626251 , 3.44000006
2 , 281.818176 , 3.44000006
3 , 321.691162 , 3.44000006
3 , 298.822449 , 3.44000006
3 , 267.857147 , 3.44000006
3 , 272.108856 , 3.44000006
3 , 281.336792 , 3.44000006
3 , 256.430237 , 3.44000006
3 , 181.451614 , 3.44000006
4 , 292.307678 , 3.44000006
3 , 280.395142 , 3.44000006
2 , 159.455124 , 3.44000006
3 , 290.769226 , 3.44000006
3 , 194.53125 , 3.44000006
2 , 248.39743 , 3.44000006
3 , 210.484512 , 3.44000006
3 , 355.409576 , 3.44000006
3 , 217.55162 , 3.44000006
3 , 309.782623 , 3.44000006
3 , 280.775085 , 3.44000006
3 , 208.734268 , 3.44000006
2 , 210.954849 , 3.44000006
3 , 176.514038 , 3.44000006
3 , 219.298248 , 3.44000006
3 , 236.87973 , 3.44000006
3 , 296.428558 , 3.44000006
3 , 231.410263 , 3.44000006
3 , 382.142853 , 3.44000006
3 , 277.083344 , 3.44000006
3 , 145.763885 , 3.44000006
3 , 289.727905 , 3.44000006
3 , 217.243713 , 3.44000006
3 , 268.66983 , 3.44000006
3 , 251.846878 , 3.44000006
3 , 223.958328 , 3.44000006
3 , 169.281052 , 3.44000006
3 , 237.7892 , 3.44000006
3 , 246.913574 , 3.44000006
3 , 242.331284 , 3.44000006
3 , 243.902435 , 3.44000006
3 , 240.796616 , 3.44000006
3 , 220.552887 , 3.44000006
3 , 299.401184 , 3.44000006
3 , 238.5159 , 3.44000006
3 , 193.452377 , 3.44000006
3 , 308.823517 , 3.44000006
3 , 261.807587 , 3.44000006
3 , 215.609207 , 3.44000006
3 , 212.104065 , 3.44000006
4 , 283.333344 , 3.44000006
3 , 549.444458 , 3.44000006
4 , 308.807739 , 3.44000006
3 , 500.529663 , 3.44000006
4 , 229.309433 , 3.44000006
3 , 1327.29211 , 3.44000006
4 , 236.842102 , 3.44000006
3 , 235.39682 , 3.44000006
4 , 297.075409 , 3.44000006
3 , 217.613922 , 3.44000006
3 , 238.527924 , 3.44000006
3 , 205.823288 , 3.44000006
4 , 199.994995 , 3.44000006
4 , 213.83342 , 3.44000006
4 , 441.975311 , 3.44000006
4 , 191.091949 , 3.44000006
3 , 195.610687 , 3.44000006
3 , 219.962158 , 3.44000006
4 , 360.486877 , 3.44000006
3 , 177.102798 , 3.44000006
4 , 237.406723 , 3.44000006
3 , 232.403534 , 3.44000006
4 , 200.598801 , 3.44000006
4 , 205.454544 , 3.44000006
3 , 244.403839 , 3.44000006
3 , 253.249664 , 3.44000006
3 , 362.15979 , 3.44000006
4 , 241.991348 , 3.44000006
4 , 233.716476 , 3.44000006
3 , 257.107025 , 3.44000006
3 , 215.303223 , 3.44000006
4 , 210.168137 , 3.44000006
3 , 354.141663 , 3.44000006
5 , 235.170898 , 3.44000006
5 , 298.480469 , 3.44000006
4 , 201.246887 , 3.44000006
4 , 159.22522 , 3.44000006
4 , 202.086044 , 3.44000006
4 , 431.17215 , 3.44000006
5 , 180.922104 , 3.44000006
4 , 267.992432 , 3.44000006
5 , 144.594589 , 3.44000006
2 , 977.564087 , 3.04999995
2 , 794.117676 , 3.04999995
2 , 357.74411 , 3.04999995
3 , 605.945129 , 3.04999995
3 , 538.571411 , 3.04999995
2 , 601.151917 , 3.04999995
2 , 363.941772 , 3.04999995
3 , 400.228699 , 3.04999995
3 , 700 , 3.04999995
3 , 393.984222 , 3.04999995
3 , 611.425903 , 3.04999995
3 , 380.999512 , 3.04999995
2 , 576.64563 , 3.04999995
3 , 367.768402 , 3.04999995
3 , 311.635803 , 3.04999995
3 , 374.358978 , 3.04999995
3 , 439.98526 , 3.04999995
4 , 410 , 3.04999995
2 , 320.393372 , 3.95000005
2 , 437.369507 , 3.95000005
3 , 474.137939 , 3.95000005
2 , 384.744354 , 3.95000005
3 , 175.233643 , 3.95000005
3 , 113.304092 , 3.95000005
3 , 427.857147 , 3.95000005
3 , 542.142883 , 3.95000005
3 , 485.489319 , 3.95000005
4 , 330.09079 , 3.95000005
2 , 361.496674 , 3.95000005
3 , 265.379364 , 3.95000005
3 , 286.73938 , 3.95000005
3 , 349.952393 , 3.95000005
3 , 501.25708 , 3.95000005
3 , 417.804413 , 3.95000005
5 , 417.461823 , 3.95000005
3 , 233.333328 , 4.03999996
3 , 504.215851 , 4.03999996
3 , 526.981445 , 4.03999996
3 , 490.416656 , 4.03999996
3 , 235.250732 , 4.03999996
3 , 441.00296 , 4.03999996
3 , 220.537567 , 4.03999996
3 , 432.016083 , 4.03999996
3 , 198.935455 , 4.03999996
4 , 274.6875 , 4.03999996
3 , 234.326172 , 4.03999996
4 , 195.791672 , 4.03999996
3 , 241.868515 , 4.03999996
3 , 445.397369 , 1.13
4 , 900 , 1.13
3 , 293.847565 , 1.13
5 , 406.3302 , 1.13
4 , 631.520142 , 1.13
5 , 161.25 , 2.94000006
4 , 203.798386 , 2.94000006
4 , 197.368423 , 4.92999983
2 , 45.5729179 , 4.92999983
5 , 173.72612 , 4.92999983
4 , 229.726578 , 4.92999983
2 , 241.09462 , 4.92999983
3 , 163.796722 , 4.92999983
3 , 221.22052 , 4.92999983
2 , 245.384613 , 4.92999983
2 , 30.7017536 , 4.92999983
3 , 216.090302 , 4.92999983
3 , 258.499603 , 4.92999983
4 , 245.890411 , 4.92999983
3 , 207.071426 , 4.92999983
3 , 234.066559 , 4.92999983
3 , 275.47171 , 4.92999983
3 , 252.056839 , 4.92999983
3 , 265.596039 , 4.92999983
3 , 300.266907 , 4.92999983
3 , 281.512604 , 4.92999983
4 , 222.11676 , 4.92999983
4 , 287.993927 , 4.92999983
3 , 308.426086 , 4.92999983
3 , 228.260864 , 4.92999983
3 , 193.113098 , 4.92999983
3 , 265.127899 , 4.92999983
2 , 172.636368 , 4.92999983
4 , 195.535721 , 4.92999983
4 , 270.962738 , 4.92999983
4 , 217.594391 , 4.92999983
4 , 224.481964 , 4.92999983
4 , 254.272629 , 4.92999983
3 , 218.68251 , 4.92999983
3 , 232.212158 , 4.92999983
3 , 220.130173 , 4.92999983
4 , 217.784882 , 4.92999983
3 , 304.417664 , 4.92999983
1 , 33 , 4.92999983
3 , 211.79039 , 4.92999983
2 , 175.736969 , 4.92999983
3 , 569.33844 , 4.92999983
3 , 192.982452 , 4.92999983
3 , 167.721512 , 4.92999983
4 , 181.525192 , 4.92999983
3 , 338.645416 , 4.92999983
2 , 488.811188 , 1.29999995
4 , 191.677567 , 4.92999983
2 , 281.928772 , 4.92999983
4 , 186.417664 , 4.92999983
3 , 232.012512 , 4.92999983
4 , 209.487778 , 4.92999983
3 , 233.420029 , 4.92999983
4 , 226.67955 , 4.92999983
3 , 249.233124 , 4.92999983
3 , 215.698929 , 4.92999983
4 , 198.256638 , 4.92999983
2 , 292.476318 , 4.92999983
2 , 18.844696 , 4.92999983
3 , 299.672638 , 4.92999983
3 , 791.139221 , 4.92999983
5 , 196 , 4.92999983
3 , 334.536377 , 4.92999983
4 , 201.590012 , 4.92999983
4 , 306.666656 , 4.92999983
3 , 285.567444 , 4.92999983
4 , 221.234467 , 4.92999983
3 , 27.1912994 , 4.92999983
3 , 276.997437 , 4.92999983
3 , 140.845078 , 4.92999983
3 , 267.934326 , 4.92999983
