@RELATION test
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE crime NUMERIC 
@ATTRIBUTE population NUMERIC 


@DATA 
3 , 3 , 3.13000011 , 13432
4 , 2 , 3.13000011 , 13432
4 , 3 , 3.13000011 , 13432
2 , 1 , 1.38999999 , 7225
3 , 1 , 1.38999999 , 7225
3 , 2 , 1.38999999 , 7225
3 , 3 , 5.13000011 , 13248
4 , 2 , 5.13000011 , 13248
3 , 1 , 5.13000011 , 13248
3 , 2 , 1.75 , 903
3 , 1 , 4.48000002 , 43509
3 , 1 , 4.48000002 , 43509
3 , 2 , 4.48000002 , 43509
3 , 2 , 4.48000002 , 43509
3 , 2 , 4.48000002 , 43509
3 , 2 , 4.48000002 , 43509
3 , 2 , 4.48000002 , 43509
3 , 2 , 4.48000002 , 43509
3 , 2 , 4.48000002 , 43509
3 , 2 , 4.48000002 , 43509
3 , 2 , 4.48000002 , 43509
3 , 2 , 4.48000002 , 43509
3 , 2 , 4.48000002 , 43509
3 , 2 , 4.48000002 , 43509
3 , 3 , 4.48000002 , 43509
3 , 3 , 4.48000002 , 43509
3 , 3 , 4.48000002 , 43509
4 , 2 , 4.48000002 , 43509
4 , 2 , 4.48000002 , 43509
4 , 2 , 4.48000002 , 43509
4 , 2 , 4.48000002 , 43509
4 , 2 , 4.48000002 , 43509
4 , 2 , 4.48000002 , 43509
4 , 3 , 4.48000002 , 43509
4 , 3 , 4.48000002 , 43509
1 , 1 , 2.38000011 , 14276
2 , 1 , 2.38000011 , 14276
2 , 1 , 2.38000011 , 14276
2 , 2 , 2.38000011 , 14276
2 , 2 , 2.38000011 , 14276
2 , 2 , 2.38000011 , 14276
2 , 2 , 2.38000011 , 14276
2 , 2 , 2.38000011 , 14276
3 , 2 , 2.38000011 , 14276
3 , 2 , 2.38000011 , 14276
3 , 2 , 2.38000011 , 14276
3 , 2 , 2.38000011 , 14276
3 , 2 , 2.38000011 , 14276
3 , 2 , 2.38000011 , 14276
3 , 2 , 2.38000011 , 14276
3 , 2 , 2.38000011 , 14276
3 , 2 , 2.38000011 , 14276
3 , 3 , 2.38000011 , 14276
3 , 3 , 2.38000011 , 14276
3 , 3 , 2.38000011 , 14276
3 , 3 , 2.38000011 , 14276
3 , 3 , 2.38000011 , 14276
6 , 7 , 2.38000011 , 14276
2 , 2 , 3.05999994 , 10461
3 , 2 , 3.05999994 , 10461
3 , 3 , 3.05999994 , 10461
2 , 2 , 3.05999994 , 10461
3 , 3 , 3.05999994 , 10461
2 , 2 , 3.05999994 , 10461
4 , 2 , 3.05999994 , 10461
4 , 2 , 3.05999994 , 10461
3 , 3 , 3.05999994 , 10461
3 , 3 , 3.05999994 , 10461
3 , 2 , 3.05999994 , 10461
3 , 3 , 3.05999994 , 10461
4 , 3 , 3.05999994 , 10461
4 , 4 , 3.05999994 , 10461
4 , 3 , 3.05999994 , 10461
3 , 1 , 6.63000011 , 517
2 , 2 , 2.63000011 , 16714
3 , 1 , 2.63000011 , 16714
2 , 2 , 2.63000011 , 16714
3 , 2 , 2.63000011 , 16714
3 , 2 , 2.63000011 , 16714
3 , 1 , 2.63000011 , 16714
3 , 2 , 2.63000011 , 16714
2 , 2 , 2.63000011 , 16714
4 , 2 , 2.63000011 , 16714
4 , 2 , 2.63000011 , 16714
3 , 2 , 2.63000011 , 16714
3 , 3 , 2.63000011 , 16714
4 , 2 , 2.63000011 , 16714
3 , 2 , 2.63000011 , 16714
4 , 2 , 2.63000011 , 16714
3 , 2 , 2.63000011 , 16714
4 , 2 , 2.63000011 , 16714
3 , 3 , 2.63000011 , 16714
4 , 2 , 2.63000011 , 16714
4 , 2 , 2.63000011 , 16714
2 , 2 , 2.63000011 , 16714
4 , 2 , 2.63000011 , 16714
4 , 2 , 2.63000011 , 16714
4 , 2 , 2.63000011 , 16714
3 , 3 , 2.63000011 , 16714
4 , 3 , 2.63000011 , 16714
7 , 5 , 2.63000011 , 16714
3 , 3 , 2.63000011 , 16714
5 , 3 , 2.63000011 , 16714
4 , 4 , 2.63000011 , 16714
3 , 3 , 2.63000011 , 16714
3 , 5 , 2.63000011 , 16714
4 , 4 , 2.63000011 , 16714
2 , 1 , 5 , 7286
2 , 2 , 5 , 7286
2 , 1 , 5 , 7286
2 , 2 , 5 , 7286
3 , 2 , 5 , 7286
3 , 3 , 5 , 7286
2 , 1 , 5 , 7286
3 , 2 , 5 , 7286
3 , 3 , 5 , 7286
3 , 3 , 5 , 7286
3 , 3 , 5 , 7286
1 , 2 , 3.44000006 , 30857
2 , 1 , 3.44000006 , 30857
3 , 1 , 3.44000006 , 30857
3 , 1 , 3.44000006 , 30857
2 , 1 , 3.44000006 , 30857
2 , 1 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 3 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
4 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
2 , 1 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
2 , 2 , 3.44000006 , 30857
3 , 3 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
2 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
4 , 3 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
4 , 2 , 3.44000006 , 30857
3 , 3 , 3.44000006 , 30857
4 , 2 , 3.44000006 , 30857
3 , 4 , 3.44000006 , 30857
4 , 3 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
4 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 3 , 3.44000006 , 30857
4 , 3 , 3.44000006 , 30857
4 , 2 , 3.44000006 , 30857
4 , 2 , 3.44000006 , 30857
4 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
4 , 2 , 3.44000006 , 30857
3 , 3 , 3.44000006 , 30857
4 , 2 , 3.44000006 , 30857
3 , 3 , 3.44000006 , 30857
4 , 2 , 3.44000006 , 30857
4 , 3 , 3.44000006 , 30857
3 , 3 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 3 , 3.44000006 , 30857
4 , 3 , 3.44000006 , 30857
4 , 3 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
3 , 2 , 3.44000006 , 30857
4 , 3 , 3.44000006 , 30857
3 , 3 , 3.44000006 , 30857
5 , 3 , 3.44000006 , 30857
5 , 3 , 3.44000006 , 30857
4 , 3 , 3.44000006 , 30857
4 , 3 , 3.44000006 , 30857
4 , 3 , 3.44000006 , 30857
4 , 3 , 3.44000006 , 30857
5 , 3 , 3.44000006 , 30857
4 , 3 , 3.44000006 , 30857
5 , 6 , 3.44000006 , 30857
2 , 1 , 3.04999995 , 7861
2 , 1 , 3.04999995 , 7861
2 , 2 , 3.04999995 , 7861
3 , 2 , 3.04999995 , 7861
3 , 2 , 3.04999995 , 7861
2 , 2 , 3.04999995 , 7861
2 , 3 , 3.04999995 , 7861
3 , 2 , 3.04999995 , 7861
3 , 4 , 3.04999995 , 7861
3 , 3 , 3.04999995 , 7861
3 , 3 , 3.04999995 , 7861
3 , 2 , 3.04999995 , 7861
2 , 2 , 3.04999995 , 7861
3 , 3 , 3.04999995 , 7861
3 , 3 , 3.04999995 , 7861
3 , 3 , 3.04999995 , 7861
3 , 3 , 3.04999995 , 7861
4 , 4 , 3.04999995 , 7861
2 , 2 , 3.95000005 , 46377
2 , 2 , 3.95000005 , 46377
3 , 2 , 3.95000005 , 46377
2 , 2 , 3.95000005 , 46377
3 , 2 , 3.95000005 , 46377
3 , 2 , 3.95000005 , 46377
3 , 2 , 3.95000005 , 46377
3 , 2 , 3.95000005 , 46377
3 , 3 , 3.95000005 , 46377
4 , 2 , 3.95000005 , 46377
2 , 3 , 3.95000005 , 46377
3 , 2 , 3.95000005 , 46377
3 , 3 , 3.95000005 , 46377
3 , 2 , 3.95000005 , 46377
3 , 3 , 3.95000005 , 46377
3 , 3 , 3.95000005 , 46377
5 , 5 , 3.95000005 , 46377
3 , 1 , 4.03999996 , 46377
3 , 2 , 4.03999996 , 1355896
3 , 2 , 4.03999996 , 1355896
3 , 2 , 4.03999996 , 1355896
3 , 2 , 4.03999996 , 1355896
3 , 2 , 4.03999996 , 1355896
3 , 2 , 4.03999996 , 1355896
3 , 2 , 4.03999996 , 1355896
3 , 2 , 4.03999996 , 1355896
4 , 2 , 4.03999996 , 1355896
3 , 3 , 4.03999996 , 1355896
4 , 2 , 4.03999996 , 1355896
3 , 3 , 4.03999996 , 1355896
3 , 2 , 1.13 , 4418
4 , 2 , 1.13 , 4418
3 , 2 , 1.13 , 4418
5 , 4 , 1.13 , 4418
4 , 4 , 1.13 , 4418
5 , 3 , 2.94000006 , 25849
4 , 2 , 2.94000006 , 25849
4 , 2 , 4.92999983 , 102216
2 , 2 , 4.92999983 , 102216
5 , 4 , 4.92999983 , 102216
4 , 2 , 4.92999983 , 102216
2 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
2 , 2 , 4.92999983 , 102216
2 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 1 , 4.92999983 , 102216
4 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
4 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
2 , 2 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
4 , 2 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
3 , 3 , 4.92999983 , 102216
3 , 3 , 4.92999983 , 102216
3 , 3 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
