@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE pricesqrf NUMERIC 


@DATA 
199280 , 3 , 1 , 191.615387
255000 , 3 , 1 , 236.111115
49900 , 3 , 2 , 47.253788
279000 , 3 , 2 , 224.27652
230000 , 3 , 2 , 184.442657
229900 , 3 , 2 , 182.026917
250000 , 3 , 2 , 198.255356
189000 , 3 , 2 , 150.477707
220000 , 3 , 2 , 158.273376
272000 , 3 , 2 , 172.917984
333900 , 3 , 2 , 208.296936
329000 , 3 , 2 , 197.954269
343390 , 3 , 2 , 207.110977
456000 , 3 , 2 , 257.627106
185000 , 3 , 3 , 127.762428
369000 , 3 , 3 , 212.06897
403900 , 3 , 3 , 169.279129
270000 , 4 , 2 , 218.270004
285000 , 4 , 2 , 233.606552
280000 , 4 , 2 , 226.35408
315000 , 4 , 2 , 225
301500 , 4 , 2 , 213.829788
285000 , 4 , 2 , 168.838867
568000 , 4 , 3 , 180.317459
612900 , 4 , 3 , 191.53125
109000 , 1 , 1 , 181.666672
373500 , 2 , 1 , 478.846161
349000 , 2 , 1 , 436.25
415000 , 2 , 2 , 435.924377
437500 , 2 , 2 , 490.470856
489900 , 2 , 2 , 450.275726
437000 , 2 , 2 , 336.153839
499950 , 2 , 2 , 358.130371
479000 , 3 , 2 , 488.775513
429000 , 3 , 2 , 366.353546
423000 , 3 , 2 , 364.969788
435000 , 3 , 2 , 335.389374
450000 , 3 , 2 , 301.608582
459000 , 3 , 2 , 299.022797
679000 , 3 , 2 , 377.222229
549000 , 3 , 2 , 281.105988
639000 , 3 , 2 , 298.041046
522000 , 3 , 3 , 341.399597
598500 , 3 , 3 , 285
845000 , 3 , 3 , 331.372559
974000 , 3 , 3 , 342.957733
971840 , 3 , 3 , 288.037933
2499000 , 6 , 7 , 487.514618
395000 , 2 , 2 , 329.166656
549000 , 3 , 2 , 466.440094
590000 , 3 , 3 , 439.970184
700000 , 2 , 2 , 497.159088
895000 , 3 , 3 , 577.419373
785000 , 2 , 2 , 502.239288
495000 , 4 , 2 , 275
694000 , 4 , 2 , 309.131409
735000 , 3 , 3 , 364.583344
694000 , 3 , 3 , 335.589935
750000 , 3 , 2 , 329.815308
849500 , 3 , 3 , 353.663605
1340000 , 4 , 3 , 418.75
1550000 , 4 , 4 , 455.882355
5500000 , 4 , 3 , 1455.02649
89100 , 3 , 1 , 84.375
225000 , 2 , 2 , 267.857147
159000 , 3 , 1 , 159
359000 , 2 , 2 , 366.326538
379000 , 3 , 2 , 344.545441
350000 , 3 , 2 , 316.455688
374900 , 3 , 1 , 340.818176
380000 , 3 , 2 , 336.879425
680000 , 2 , 2 , 566.666687
425000 , 4 , 2 , 330.996887
345000 , 4 , 2 , 256.696442
550000 , 3 , 2 , 414.156616
449000 , 3 , 3 , 271.299103
474900 , 4 , 2 , 296.8125
499000 , 3 , 2 , 302.424255
419900 , 4 , 2 , 256.349213
499000 , 3 , 2 , 277.83963
499000 , 4 , 2 , 271.490753
595000 , 3 , 3 , 300.201813
569000 , 4 , 2 , 294.361084
599900 , 4 , 2 , 300.551117
775000 , 2 , 2 , 386.533661
469000 , 4 , 2 , 231.034485
399000 , 4 , 2 , 186.100754
800000 , 4 , 2 , 343.495056
1100000 , 3 , 3 , 452.674896
799000 , 4 , 3 , 314.072327
699000 , 7 , 5 , 258.888885
924900 , 3 , 3 , 324.982422
929000 , 5 , 3 , 301.623383
699000 , 4 , 4 , 212.526611
1199000 , 3 , 3 , 328.943756
1188000 , 3 , 5 , 260.755035
1479000 , 4 , 4 , 298.065308
495000 , 2 , 1 , 618.75
235000 , 2 , 2 , 261.111115
350000 , 2 , 1 , 353.892822
269900 , 2 , 2 , 277.104736
