@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE size NUMERIC 
@ATTRIBUTE pricesqrf NUMERIC 
@ATTRIBUTE crime NUMERIC 
@ATTRIBUTE population NUMERIC 
@ATTRIBUTE income NUMERIC 


@DATA 
339000 , 3 , 2 , 1100 , 308.181824 , 3.50999999 , 29096 , 31434
459000 , 3 , 3 , 1920 , 239.0625 , 3.50999999 , 29096 , 31434
565000 , 3 , 2 , 2050 , 275.609741 , 3.50999999 , 29096 , 31434
535000 , 3 , 2 , 1580 , 338.607605 , 3.50999999 , 29096 , 31434
395000 , 3 , 2 , 1325 , 298.11322 , 3.50999999 , 29096 , 31434
625000 , 3 , 2 , 1751 , 356.938904 , 3.50999999 , 29096 , 31434
530000 , 4 , 3 , 2628 , 201.674271 , 3.50999999 , 29096 , 31434
759000 , 4 , 4 , 3600 , 210.833328 , 3.50999999 , 29096 , 31434
68900 , 4 , 3 , 3800 , 18.1315784 , 3.50999999 , 29096 , 31434
689900 , 4 , 3 , 2757 , 250.235764 , 3.50999999 , 29096 , 31434
1050000 , 4 , 3 , 3838 , 273.579987 , 3.50999999 , 29096 , 31434
569000 , 4 , 3 , 1941 , 293.147858 , 3.50999999 , 29096 , 31434
699000 , 4 , 4 , 3600 , 194.166672 , 3.50999999 , 29096 , 31434
925000 , 4 , 3 , 3518 , 262.933472 , 3.50999999 , 29096 , 31434
999900 , 4 , 3 , 3900 , 256.384613 , 3.50999999 , 29096 , 31434
455550 , 4 , 3 , 2259 , 201.660034 , 3.50999999 , 29096 , 31434
545000 , 4 , 2 , 2025 , 269.135803 , 3.50999999 , 29096 , 31434
475000 , 5 , 3 , 3281 , 144.772934 , 3.50999999 , 29096 , 31434
1295000 , 5 , 4 , 5200 , 249.038467 , 3.50999999 , 29096 , 31434
875000 , 5 , 3 , 3025 , 289.256195 , 3.50999999 , 29096 , 31434
589000 , 5 , 3 , 2583 , 228.029419 , 3.50999999 , 29096 , 31434
1350000 , 10 , 11 , 5000 , 270 , 3.50999999 , 29096 , 31434
825000 , 2 , 2 , 1300 , 634.615356 , 3.95000005 , 46377 , 26129
856000 , 2 , 2 , 1300 , 658.461548 , 3.95000005 , 46377 , 26129
2950000 , 4 , 5 , 4119 , 716.193237 , 3.95000005 , 46377 , 26129
200000 , 3 , 2 , 1236 , 161.812302 , 5.17000008 , 363630 , 23316
394900 , 3 , 3 , 2006 , 196.859421 , 5.36000013 , 93 , 22122
749500 , 4 , 4 , 3040 , 246.546051 , 5.36000013 , 93 , 22122
249000 , 3 , 2 , 982 , 253.564148 , 5.36000013 , 93 , 22122
799000 , 3 , 3 , 2194 , 364.175018 , 5.36000013 , 93 , 22122
349000 , 2 , 2 , 963 , 362.409149 , 5.36000013 , 4964 , 30047
400000 , 3 , 3 , 1440 , 277.777771 , 5.36000013 , 4964 , 30047
525000 , 3 , 2 , 1682 , 312.128418 , 5.36000013 , 4964 , 30047
725000 , 3 , 2 , 1310 , 553.43512 , 5.36000013 , 4964 , 30047
434000 , 3 , 3 , 1300 , 333.846161 , 5.36000013 , 4964 , 30047
995000 , 4 , 4 , 3120 , 318.910248 , 5.36000013 , 4964 , 30047
450000 , 4 , 3 , 1650 , 272.727264 , 5.36000013 , 4964 , 30047
409000 , 4 , 2 , 1780 , 229.775284 , 5.36000013 , 4964 , 30047
501000 , 4 , 3 , 2000 , 250.5 , 5.36000013 , 4964 , 30047
429000 , 1 , 1 , 592 , 724.66217 , 2.16000009 , 6032 , 41504
535000 , 2 , 2 , 1262 , 423.930267 , 2.16000009 , 6032 , 41504
475000 , 2 , 2 , 1241 , 382.755829 , 2.16000009 , 6032 , 41504
517000 , 2 , 2 , 1122 , 460.784302 , 2.16000009 , 6032 , 41504
787500 , 2 , 2 , 1173 , 671.355469 , 2.16000009 , 6032 , 41504
399500 , 2 , 2 , 1500 , 266.333344 , 2.16000009 , 6032 , 41504
895000 , 2 , 3 , 1580 , 566.455688 , 2.16000009 , 6032 , 41504
806000 , 2 , 3 , 2255 , 357.427948 , 2.16000009 , 6032 , 41504
569000 , 3 , 2 , 1401 , 406.138458 , 2.16000009 , 6032 , 41504
675000 , 3 , 2 , 1614 , 418.215607 , 2.16000009 , 6032 , 41504
659000 , 3 , 2 , 1600 , 411.875 , 2.16000009 , 6032 , 41504
879000 , 3 , 3 , 1833 , 479.541748 , 2.16000009 , 6032 , 41504
699000 , 3 , 3 , 1900 , 367.894745 , 2.16000009 , 6032 , 41504
1995000 , 3 , 3 , 2140 , 932.242981 , 2.16000009 , 6032 , 41504
599000 , 3 , 3 , 2025 , 295.80246 , 2.16000009 , 6032 , 41504
799000 , 3 , 3 , 2475 , 322.828278 , 2.16000009 , 6032 , 41504
1300000 , 4 , 3 , 3000 , 433.333344 , 2.16000009 , 6032 , 41504
639500 , 4 , 3 , 1150 , 556.086975 , 2.16000009 , 6032 , 41504
1395000 , 4 , 4 , 3444 , 405.052277 , 2.16000009 , 6032 , 41504
899000 , 5 , 3 , 2003 , 448.826752 , 2.16000009 , 6032 , 41504
1450000 , 5 , 4 , 3500 , 414.285706 , 2.16000009 , 6032 , 41504
979000 , 3 , 3 , 1902 , 514.721375 , 0.670000017 , 2592 , 41938
750000 , 2 , 2 , 1430 , 524.475525 , 0.670000017 , 2592 , 41938
1995000 , 3 , 3 , 3245 , 614.791992 , 0.670000017 , 2592 , 41938
85000 , 2 , 1 , 888 , 95.7207184 , 0.670000017 , 16755 , 18737
110000 , 3 , 1 , 870 , 126.436783 , 0.670000017 , 16755 , 18737
210000 , 3 , 2 , 1320 , 159.090912 , 0.670000017 , 16755 , 18737
182000 , 3 , 2 , 1716 , 106.060608 , 0.670000017 , 16755 , 18737
159130 , 4 , 3 , 1878 , 84.733757 , 0.670000017 , 16755 , 18737
240000 , 4 , 3 , 2334 , 102.827766 , 0.670000017 , 16755 , 18737
185000 , 5 , 2 , 1878 , 98.5090485 , 0.670000017 , 16755 , 18737
310000 , 4 , 2 , 2000 , 155 , 5.28000021 , 16869 , 13757
300000 , 1 , 1 , 600 , 500 , 3.13000011 , 13432 , 25861
369900 , 2 , 1 , 825 , 448.363647 , 3.13000011 , 13432 , 25861
290000 , 2 , 2 , 1000 , 290 , 3.13000011 , 13432 , 25861
299000 , 2 , 2 , 1150 , 260 , 3.13000011 , 13432 , 25861
489000 , 2 , 2 , 1139 , 429.323975 , 3.13000011 , 13432 , 25861
449000 , 3 , 1 , 1500 , 299.333344 , 3.13000011 , 13432 , 25861
515000 , 3 , 2 , 1153 , 446.660889 , 3.13000011 , 13432 , 25861
479000 , 3 , 2 , 1253 , 382.282532 , 3.13000011 , 13432 , 25861
679000 , 3 , 2 , 1304 , 520.705505 , 3.13000011 , 13432 , 25861
489000 , 3 , 2 , 1370 , 356.934296 , 3.13000011 , 13432 , 25861
278500 , 3 , 2 , 1320 , 210.984848 , 3.13000011 , 13432 , 25861
480000 , 3 , 2 , 1440 , 333.333344 , 3.13000011 , 13432 , 25861
500000 , 3 , 2 , 1500 , 333.333344 , 3.13000011 , 13432 , 25861
445900 , 3 , 2 , 1614 , 276.270142 , 3.13000011 , 13432 , 25861
499000 , 3 , 2 , 1871 , 266.702301 , 3.13000011 , 13432 , 25861
634500 , 3 , 2 , 1926 , 329.43924 , 3.13000011 , 13432 , 25861
745000 , 3 , 2 , 2300 , 323.913055 , 3.13000011 , 13432 , 25861
759000 , 3 , 3 , 2400 , 316.25 , 3.13000011 , 13432 , 25861
700000 , 3 , 3 , 3300 , 212.121216 , 3.13000011 , 13432 , 25861
650000 , 4 , 2 , 1725 , 376.811584 , 3.13000011 , 13432 , 25861
449000 , 4 , 3 , 2023 , 221.947601 , 3.13000011 , 13432 , 25861
178340 , 2 , 1 , 1000 , 178.339996 , 1.38999999 , 7225 , 14899
318000 , 3 , 1 , 1300 , 244.615387 , 1.38999999 , 7225 , 14899
242150 , 3 , 2 , 1310 , 184.847336 , 1.38999999 , 7225 , 14899
330000 , 3 , 3 , 1670 , 197.604797 , 5.13000011 , 13248 , 33347
624900 , 4 , 2 , 2639 , 236.794235 , 5.13000011 , 13248 , 33347
210000 , 3 , 1 , 1000 , 210 , 5.13000011 , 13248 , 33347
495000 , 3 , 2 , 1560 , 317.307678 , 1.75 , 903 , 19813
199280 , 3 , 1 , 1040 , 191.615387 , 4.48000002 , 43509 , 19865
255000 , 3 , 1 , 1080 , 236.111115 , 4.48000002 , 43509 , 19865
49900 , 3 , 2 , 1056 , 47.253788 , 4.48000002 , 43509 , 19865
279000 , 3 , 2 , 1244 , 224.27652 , 4.48000002 , 43509 , 19865
230000 , 3 , 2 , 1247 , 184.442657 , 4.48000002 , 43509 , 19865
229900 , 3 , 2 , 1263 , 182.026917 , 4.48000002 , 43509 , 19865
250000 , 3 , 2 , 1261 , 198.255356 , 4.48000002 , 43509 , 19865
189000 , 3 , 2 , 1256 , 150.477707 , 4.48000002 , 43509 , 19865
220000 , 3 , 2 , 1390 , 158.273376 , 4.48000002 , 43509 , 19865
272000 , 3 , 2 , 1573 , 172.917984 , 4.48000002 , 43509 , 19865
333900 , 3 , 2 , 1603 , 208.296936 , 4.48000002 , 43509 , 19865
329000 , 3 , 2 , 1662 , 197.954269 , 4.48000002 , 43509 , 19865
343390 , 3 , 2 , 1658 , 207.110977 , 4.48000002 , 43509 , 19865
456000 , 3 , 2 , 1770 , 257.627106 , 4.48000002 , 43509 , 19865
185000 , 3 , 3 , 1448 , 127.762428 , 4.48000002 , 43509 , 19865
369000 , 3 , 3 , 1740 , 212.06897 , 4.48000002 , 43509 , 19865
403900 , 3 , 3 , 2386 , 169.279129 , 4.48000002 , 43509 , 19865
270000 , 4 , 2 , 1237 , 218.270004 , 4.48000002 , 43509 , 19865
285000 , 4 , 2 , 1220 , 233.606552 , 4.48000002 , 43509 , 19865
280000 , 4 , 2 , 1237 , 226.35408 , 4.48000002 , 43509 , 19865
315000 , 4 , 2 , 1400 , 225 , 4.48000002 , 43509 , 19865
301500 , 4 , 2 , 1410 , 213.829788 , 4.48000002 , 43509 , 19865
285000 , 4 , 2 , 1688 , 168.838867 , 4.48000002 , 43509 , 19865
568000 , 4 , 3 , 3150 , 180.317459 , 4.48000002 , 43509 , 19865
612900 , 4 , 3 , 3200 , 191.53125 , 4.48000002 , 43509 , 19865
109000 , 1 , 1 , 600 , 181.666672 , 2.38000011 , 14276 , 32328
373500 , 2 , 1 , 780 , 478.846161 , 2.38000011 , 14276 , 32328
349000 , 2 , 1 , 800 , 436.25 , 2.38000011 , 14276 , 32328
415000 , 2 , 2 , 952 , 435.924377 , 2.38000011 , 14276 , 32328
437500 , 2 , 2 , 892 , 490.470856 , 2.38000011 , 14276 , 32328
489900 , 2 , 2 , 1088 , 450.275726 , 2.38000011 , 14276 , 32328
437000 , 2 , 2 , 1300 , 336.153839 , 2.38000011 , 14276 , 32328
499950 , 2 , 2 , 1396 , 358.130371 , 2.38000011 , 14276 , 32328
479000 , 3 , 2 , 980 , 488.775513 , 2.38000011 , 14276 , 32328
429000 , 3 , 2 , 1171 , 366.353546 , 2.38000011 , 14276 , 32328
423000 , 3 , 2 , 1159 , 364.969788 , 2.38000011 , 14276 , 32328
435000 , 3 , 2 , 1297 , 335.389374 , 2.38000011 , 14276 , 32328
