@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE pricesqrf NUMERIC 
@ATTRIBUTE crime NUMERIC 


@DATA 
384900 , 3 , 264.354401 , 1.86000001
369000 , 2 , 242.922974 , 1.86000001
1100000 , 4 , 338.045471 , 1.86000001
375000 , 2 , 394.736847 , 1.86000001
745000 , 3 , 408.442993 , 1.86000001
725000 , 3 , 420.53363 , 1.86000001
1295000 , 4 , 603.167236 , 1.86000001
1996000 , 4 , 399.200012 , 1.86000001
879500 , 4 , 321.572205 , 1.86000001
998900 , 3 , 524.356934 , 1.86000001
869900 , 3 , 363.670563 , 1.86000001
375000 , 2 , 287.136292 , 1.86000001
625000 , 3 , 349.748169 , 1.86000001
415000 , 3 , 253.203171 , 1.86000001
699900 , 3 , 348.729462 , 1.86000001
849000 , 5 , 279.552185 , 1.86000001
450000 , 2 , 455.465576 , 1.86000001
1499000 , 5 , 249.210312 , 1.86000001
2699000 , 4 , 437.722992 , 1.86000001
524000 , 3 , 322.263214 , 1.86000001
439000 , 3 , 267.356873 , 1.86000001
339900 , 2 , 326.51297 , 1.86000001
778000 , 4 , 340.332458 , 1.86000001
550000 , 3 , 477.430542 , 1.86000001
799900 , 3 , 323.846161 , 1.86000001
729000 , 3 , 646.276611 , 1.86000001
109000 , 3 , 82.5757599 , 1.86000001
409950 , 3 , 381.348846 , 1.86000001
650000 , 2 , 667.351135 , 1.86000001
250900 , 2 , 259.194214 , 1.86000001
1158500 , 5 , 344.791656 , 1.86000001
1049000 , 3 , 318.071564 , 1.86000001
523490 , 2 , 334.498413 , 1.86000001
499900 , 4 , 234.694839 , 1.86000001
710000 , 3 , 363.915955 , 1.86000001
612000 , 3 , 281.379303 , 1.86000001
179900 , 1 , 316.725342 , 1.86000001
492000 , 5 , 272.727264 , 1.86000001
210400 , 1 , 295.505615 , 3.50999999
193483 , 1 , 320.33609 , 3.50999999
435000 , 2 , 348 , 3.50999999
699900 , 2 , 874.875 , 3.50999999
495000 , 2 , 434.210541 , 3.50999999
349900 , 2 , 269.153839 , 3.50999999
319000 , 2 , 319 , 3.50999999
215000 , 2 , 206.532181 , 3.50999999
165000 , 2 , 161.764709 , 3.50999999
390000 , 2 , 325 , 3.50999999
359000 , 2 , 391.067535 , 3.50999999
154447 , 2 , 204.294968 , 3.50999999
385000 , 3 , 210.152832 , 3.50999999
435000 , 3 , 254.982422 , 3.50999999
369900 , 3 , 266.498566 , 3.50999999
365000 , 3 , 202.665192 , 3.50999999
627000 , 3 , 293.539337 , 3.50999999
575000 , 3 , 285.218262 , 3.50999999
389000 , 3 , 290.082031 , 3.50999999
524900 , 3 , 349.933319 , 3.50999999
518000 , 3 , 217.46431 , 3.50999999
362000 , 3 , 296.721313 , 3.50999999
419000 , 3 , 364.031281 , 3.50999999
345000 , 3 , 219.047623 , 3.50999999
540000 , 3 , 267.326721 , 3.50999999
625000 , 3 , 299.616486 , 3.50999999
299999 , 3 , 260.189941 , 3.50999999
389000 , 3 , 280.461426 , 3.50999999
330000 , 3 , 209.523804 , 3.50999999
799900 , 3 , 319.959991 , 3.50999999
440000 , 3 , 287.581696 , 3.50999999
345000 , 3 , 243.988678 , 3.50999999
345000 , 3 , 306.939514 , 3.50999999
123500 , 3 , 98.0158768 , 3.50999999
900000 , 3 , 450.450439 , 3.50999999
399000 , 3 , 214.170685 , 3.50999999
339000 , 3 , 308.181824 , 3.50999999
459000 , 3 , 239.0625 , 3.50999999
565000 , 3 , 275.609741 , 3.50999999
535000 , 3 , 338.607605 , 3.50999999
395000 , 3 , 298.11322 , 3.50999999
625000 , 3 , 356.938904 , 3.50999999
530000 , 4 , 201.674271 , 3.50999999
759000 , 4 , 210.833328 , 3.50999999
68900 , 4 , 18.1315784 , 3.50999999
689900 , 4 , 250.235764 , 3.50999999
1050000 , 4 , 273.579987 , 3.50999999
569000 , 4 , 293.147858 , 3.50999999
699000 , 4 , 194.166672 , 3.50999999
925000 , 4 , 262.933472 , 3.50999999
999900 , 4 , 256.384613 , 3.50999999
455550 , 4 , 201.660034 , 3.50999999
545000 , 4 , 269.135803 , 3.50999999
