@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE size NUMERIC 
@ATTRIBUTE crime NUMERIC 


@DATA 
278500 , 3 , 1320 , 3.13000011
480000 , 3 , 1440 , 3.13000011
500000 , 3 , 1500 , 3.13000011
445900 , 3 , 1614 , 3.13000011
499000 , 3 , 1871 , 3.13000011
634500 , 3 , 1926 , 3.13000011
745000 , 3 , 2300 , 3.13000011
759000 , 3 , 2400 , 3.13000011
700000 , 3 , 3300 , 3.13000011
650000 , 4 , 1725 , 3.13000011
449000 , 4 , 2023 , 3.13000011
178340 , 2 , 1000 , 1.38999999
318000 , 3 , 1300 , 1.38999999
242150 , 3 , 1310 , 1.38999999
330000 , 3 , 1670 , 5.13000011
624900 , 4 , 2639 , 5.13000011
210000 , 3 , 1000 , 5.13000011
495000 , 3 , 1560 , 1.75
199280 , 3 , 1040 , 4.48000002
255000 , 3 , 1080 , 4.48000002
49900 , 3 , 1056 , 4.48000002
279000 , 3 , 1244 , 4.48000002
230000 , 3 , 1247 , 4.48000002
229900 , 3 , 1263 , 4.48000002
250000 , 3 , 1261 , 4.48000002
189000 , 3 , 1256 , 4.48000002
220000 , 3 , 1390 , 4.48000002
272000 , 3 , 1573 , 4.48000002
333900 , 3 , 1603 , 4.48000002
329000 , 3 , 1662 , 4.48000002
343390 , 3 , 1658 , 4.48000002
456000 , 3 , 1770 , 4.48000002
185000 , 3 , 1448 , 4.48000002
369000 , 3 , 1740 , 4.48000002
403900 , 3 , 2386 , 4.48000002
270000 , 4 , 1237 , 4.48000002
285000 , 4 , 1220 , 4.48000002
280000 , 4 , 1237 , 4.48000002
315000 , 4 , 1400 , 4.48000002
301500 , 4 , 1410 , 4.48000002
285000 , 4 , 1688 , 4.48000002
568000 , 4 , 3150 , 4.48000002
612900 , 4 , 3200 , 4.48000002
109000 , 1 , 600 , 2.38000011
373500 , 2 , 780 , 2.38000011
349000 , 2 , 800 , 2.38000011
415000 , 2 , 952 , 2.38000011
437500 , 2 , 892 , 2.38000011
489900 , 2 , 1088 , 2.38000011
437000 , 2 , 1300 , 2.38000011
499950 , 2 , 1396 , 2.38000011
479000 , 3 , 980 , 2.38000011
429000 , 3 , 1171 , 2.38000011
423000 , 3 , 1159 , 2.38000011
435000 , 3 , 1297 , 2.38000011
450000 , 3 , 1492 , 2.38000011
