@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE size NUMERIC 
@ATTRIBUTE crime NUMERIC 
@ATTRIBUTE population NUMERIC 
@ATTRIBUTE prc_college NUMERIC 


@DATA 
68900 , 4 , 3 , 3800 , 3.50999999 , 29096 , 28.2299995
689900 , 4 , 3 , 2757 , 3.50999999 , 29096 , 28.2299995
1050000 , 4 , 3 , 3838 , 3.50999999 , 29096 , 28.2299995
569000 , 4 , 3 , 1941 , 3.50999999 , 29096 , 28.2299995
699000 , 4 , 4 , 3600 , 3.50999999 , 29096 , 28.2299995
925000 , 4 , 3 , 3518 , 3.50999999 , 29096 , 28.2299995
999900 , 4 , 3 , 3900 , 3.50999999 , 29096 , 28.2299995
455550 , 4 , 3 , 2259 , 3.50999999 , 29096 , 28.2299995
545000 , 4 , 2 , 2025 , 3.50999999 , 29096 , 28.2299995
475000 , 5 , 3 , 3281 , 3.50999999 , 29096 , 28.2299995
1295000 , 5 , 4 , 5200 , 3.50999999 , 29096 , 28.2299995
875000 , 5 , 3 , 3025 , 3.50999999 , 29096 , 28.2299995
589000 , 5 , 3 , 2583 , 3.50999999 , 29096 , 28.2299995
1350000 , 10 , 11 , 5000 , 3.50999999 , 29096 , 28.2299995
825000 , 2 , 2 , 1300 , 3.95000005 , 46377 , 21.8400002
856000 , 2 , 2 , 1300 , 3.95000005 , 46377 , 21.8400002
2950000 , 4 , 5 , 4119 , 3.95000005 , 46377 , 21.8400002
200000 , 3 , 2 , 1236 , 5.17000008 , 363630 , 20.0499992
394900 , 3 , 3 , 2006 , 5.36000013 , 93 , 6.17000008
749500 , 4 , 4 , 3040 , 5.36000013 , 93 , 6.17000008
249000 , 3 , 2 , 982 , 5.36000013 , 93 , 6.17000008
799000 , 3 , 3 , 2194 , 5.36000013 , 93 , 6.17000008
349000 , 2 , 2 , 963 , 5.36000013 , 4964 , 23.3999996
400000 , 3 , 3 , 1440 , 5.36000013 , 4964 , 23.3999996
525000 , 3 , 2 , 1682 , 5.36000013 , 4964 , 23.3999996
725000 , 3 , 2 , 1310 , 5.36000013 , 4964 , 23.3999996
434000 , 3 , 3 , 1300 , 5.36000013 , 4964 , 23.3999996
995000 , 4 , 4 , 3120 , 5.36000013 , 4964 , 23.3999996
450000 , 4 , 3 , 1650 , 5.36000013 , 4964 , 23.3999996
409000 , 4 , 2 , 1780 , 5.36000013 , 4964 , 23.3999996
501000 , 4 , 3 , 2000 , 5.36000013 , 4964 , 23.3999996
429000 , 1 , 1 , 592 , 2.16000009 , 6032 , 46.2000008
535000 , 2 , 2 , 1262 , 2.16000009 , 6032 , 46.2000008
475000 , 2 , 2 , 1241 , 2.16000009 , 6032 , 46.2000008
517000 , 2 , 2 , 1122 , 2.16000009 , 6032 , 46.2000008
787500 , 2 , 2 , 1173 , 2.16000009 , 6032 , 46.2000008
399500 , 2 , 2 , 1500 , 2.16000009 , 6032 , 46.2000008
895000 , 2 , 3 , 1580 , 2.16000009 , 6032 , 46.2000008
806000 , 2 , 3 , 2255 , 2.16000009 , 6032 , 46.2000008
569000 , 3 , 2 , 1401 , 2.16000009 , 6032 , 46.2000008
675000 , 3 , 2 , 1614 , 2.16000009 , 6032 , 46.2000008
659000 , 3 , 2 , 1600 , 2.16000009 , 6032 , 46.2000008
879000 , 3 , 3 , 1833 , 2.16000009 , 6032 , 46.2000008
