154455 , 319000 , 3 , 2 , 1442 , 221.22052 , 4.92999983 , 102216 , 18560
151009 , 347500 , 3 , 2 , 1544 , 225.064774 , 4.92999983 , 102216 , 18560
154474 , 299000 , 3 , 2 , 1316 , 227.203644 , 4.92999983 , 102216 , 18560
149024 , 300900 , 3 , 2 , 1395 , 215.698929 , 4.92999983 , 102216 , 18560
153900 , 295000 , 3 , 2 , 1654 , 178.355499 , 4.92999983 , 102216 , 18560
154006 , 299999 , 3 , 2 , 1420 , 211.266907 , 4.92999983 , 102216 , 18560
154332 , 339900 , 3 , 2 , 1540 , 220.714279 , 4.92999983 , 102216 , 18560
154074 , 289900 , 3 , 2 , 1461 , 198.425735 , 4.92999983 , 102216 , 18560
153734 , 299900 , 3 , 2 , 1342 , 223.472427 , 4.92999983 , 102216 , 18560
148168 , 359000 , 3 , 2 , 1538 , 233.420029 , 4.92999983 , 102216 , 18560
153570 , 299900 , 3 , 2 , 1398 , 214.520737 , 4.92999983 , 102216 , 18560
146597 , 275000 , 3 , 2 , 1425 , 192.982452 , 4.92999983 , 102216 , 18560
154329 , 329500 , 3 , 2 , 1517 , 217.205017 , 4.92999983 , 102216 , 18560
151000 , 359900 , 3 , 2 , 1642 , 219.183929 , 4.92999983 , 102216 , 18560
154034 , 299000 , 3 , 2 , 1402 , 213.266769 , 4.92999983 , 102216 , 18560
137090 , 289900 , 3 , 2 , 1400 , 207.071426 , 4.92999983 , 102216 , 18560
153288 , 269900 , 3 , 2 , 1688 , 159.893372 , 4.92999983 , 102216 , 18560
154279 , 229500 , 3 , 2 , 1439 , 159.485748 , 4.92999983 , 102216 , 18560
