152393 , 220000 , 3 , 2 , 1390 , 158.273376 , 14.1999998
154060 , 208900 , 3 , 2 , 1171 , 178.394531 , 12.8500004
152854 , 229900 , 3 , 2 , 1263 , 182.026917 , 14.1999998
153668 , 198000 , 3 , 2 , 1191 , 166.246857 , 12.8500004
154399 , 189000 , 3 , 2 , 1256 , 150.477707 , 14.1999998
150980 , 210000 , 3 , 2 , 1491 , 140.845078 , 12.8500004
151772 , 195000 , 3 , 2 , 1226 , 159.053833 , 12.8500004
154145 , 217000 , 3 , 2 , 1241 , 174.858978 , 12.8500004
154279 , 229500 , 3 , 2 , 1439 , 159.485748 , 12.8500004
154223 , 227000 , 3 , 2 , 1288 , 176.242233 , 12.8500004
154418 , 152000 , 3 , 2 , 1200 , 126.666664 , 13.3800001
