154485 , 345000 , 4 , 2 , 1344
149989 , 474900 , 4 , 2 , 1600
154407 , 305000 , 4 , 2 , 1541
137036 , 359000 , 4 , 2 , 1460
154417 , 349900 , 4 , 2 , 1666
149275 , 285000 , 4 , 2 , 1688
140731 , 379000 , 4 , 2 , 1316
152897 , 419900 , 4 , 2 , 1638
151991 , 439500 , 4 , 2 , 1600
152191 , 379900 , 4 , 2 , 1316
154506 , 429900 , 4 , 2 , 1435
151005 , 315000 , 4 , 2 , 1400
145952 , 509000 , 4 , 2 , 1542
153944 , 301500 , 4 , 2 , 1410
151854 , 269000 , 4 , 2 , 1371
154408 , 324900 , 4 , 2 , 1515
154283 , 279000 , 4 , 2 , 1369
151232 , 241680 , 4 , 2 , 1469
