147586 , 3 , 445000
150823 , 3 , 444900
150966 , 3 , 445900
153556 , 3 , 475000
150773 , 3 , 439000
154242 , 3 , 459000
153802 , 3 , 456000
152794 , 3 , 473000
154312 , 3 , 449000
153068 , 3 , 465000
154528 , 3 , 449900
152014 , 3 , 459900
152487 , 3 , 450000
154154 , 3 , 489000
153807 , 3 , 469900
146790 , 3 , 439000
154557 , 3 , 479900
154419 , 3 , 450000
148757 , 3 , 459000
153259 , 3 , 479000
144312 , 3 , 473500
152849 , 3 , 480000
152820 , 3 , 449000
154317 , 3 , 440000
153085 , 3 , 440000
153915 , 3 , 439999
149797 , 3 , 479000
153377 , 3 , 479000
140044 , 3 , 449000
